epoch,epoch_loss,split,loss,acc,sample_fn
0,1.968453,train,1.7013925,0.18473895582329317,gumbel_soft
0,1.968453,val,1.500383,0.12903225806451613,gumbel_soft
0,1.968453,test,1.7584913,0.1388888888888889,gumbel_soft
1,1.6897686,train,1.5507691,0.3132530120481928,gumbel_soft
1,1.6897686,val,1.4489309,0.2903225806451613,gumbel_soft
1,1.6897686,test,1.8634216,0.2777777777777778,gumbel_soft
2,1.5540996,train,1.5250398,0.3132530120481928,gumbel_soft
2,1.5540996,val,1.375965,0.25806451612903225,gumbel_soft
2,1.5540996,test,1.9782442,0.2222222222222222,gumbel_soft
3,1.4989309,train,1.4886082,0.3333333333333333,gumbel_soft
3,1.4989309,val,1.2875606,0.25806451612903225,gumbel_soft
3,1.4989309,test,2.0536208,0.19444444444444445,gumbel_soft
4,1.4699106,train,1.4268241,0.37751004016064255,gumbel_soft
4,1.4699106,val,1.194107,0.3870967741935484,gumbel_soft
4,1.4699106,test,1.9705417,0.2222222222222222,gumbel_soft
5,1.4073944,train,1.3654802,0.40160642570281124,gumbel_soft
5,1.4073944,val,1.1367303,0.45161290322580644,gumbel_soft
5,1.4073944,test,1.9399751,0.2222222222222222,gumbel_soft
6,1.3797103,train,1.3508804,0.4538152610441767,gumbel_soft
6,1.3797103,val,1.1929673,0.3225806451612903,gumbel_soft
6,1.3797103,test,1.8601999,0.3888888888888889,gumbel_soft
7,1.3335028,train,1.3471546,0.41365461847389556,gumbel_soft
7,1.3335028,val,1.2020346,0.3225806451612903,gumbel_soft
7,1.3335028,test,1.8997458,0.3888888888888889,gumbel_soft
8,1.2636943,train,1.2503619,0.4859437751004016,gumbel_soft
8,1.2636943,val,1.1354842,0.6451612903225806,gumbel_soft
8,1.2636943,test,1.8538319,0.3055555555555556,gumbel_soft
9,1.2754892,train,1.2509688,0.43775100401606426,gumbel_soft
9,1.2754892,val,1.0734278,0.5161290322580645,gumbel_soft
9,1.2754892,test,1.8133944,0.3888888888888889,gumbel_soft
10,1.2187439,train,1.1820297,0.46987951807228917,gumbel_soft
10,1.2187439,val,1.1259876,0.4838709677419355,gumbel_soft
10,1.2187439,test,1.6930441,0.4444444444444444,gumbel_soft
11,1.2389578,train,1.1516318,0.5662650602409639,gumbel_soft
11,1.2389578,val,1.119322,0.5806451612903226,gumbel_soft
11,1.2389578,test,1.7382075,0.3055555555555556,gumbel_soft
12,1.1688366,train,1.1059372,0.5381526104417671,gumbel_soft
12,1.1688366,val,0.98612696,0.6774193548387096,gumbel_soft
12,1.1688366,test,1.5079829,0.5277777777777778,gumbel_soft
13,1.1040049,train,1.0647804,0.5301204819277109,gumbel_soft
13,1.1040049,val,0.9267613,0.7741935483870968,gumbel_soft
13,1.1040049,test,1.4410002,0.5555555555555556,gumbel_soft
14,1.0573974,train,1.0048395,0.5542168674698795,gumbel_soft
14,1.0573974,val,0.9285298,0.7419354838709677,gumbel_soft
14,1.0573974,test,1.2999427,0.6666666666666666,gumbel_soft
15,1.1012692,train,1.0841081,0.5140562248995983,gumbel_soft
15,1.1012692,val,0.8846242,0.7741935483870968,gumbel_soft
15,1.1012692,test,1.2905734,0.6388888888888888,gumbel_soft
16,1.1092085,train,0.964804,0.5783132530120482,gumbel_soft
16,1.1092085,val,0.9605822,0.5806451612903226,gumbel_soft
16,1.1092085,test,1.3472162,0.5555555555555556,gumbel_soft
17,0.9739301,train,1.1035651,0.5180722891566265,gumbel_soft
17,0.9739301,val,0.8872387,0.7419354838709677,gumbel_soft
17,0.9739301,test,1.3392471,0.5277777777777778,gumbel_soft
18,0.9459073,train,0.9094258,0.6947791164658634,gumbel_soft
18,0.9459073,val,0.92939955,0.7741935483870968,gumbel_soft
18,0.9459073,test,1.3228884,0.5,gumbel_soft
19,0.95667976,train,0.9220452,0.6907630522088354,gumbel_soft
19,0.95667976,val,0.8593839,0.8709677419354839,gumbel_soft
19,0.95667976,test,1.1094565,0.5555555555555556,gumbel_soft
20,0.9164113,train,0.9488756,0.6506024096385542,gumbel_soft
20,0.9164113,val,0.8944108,0.8064516129032258,gumbel_soft
20,0.9164113,test,1.0487907,0.6666666666666666,gumbel_soft
21,1.1017874,train,0.9177086,0.570281124497992,gumbel_soft
21,1.1017874,val,0.91145426,0.8064516129032258,gumbel_soft
