epoch,epoch_loss,split,loss,acc,sample_fn
0,2.0266457,train,1.097373,0.6937777777777778,gumbel_soft
0,2.0266457,val,1.1345531,0.6798888888888889,gumbel_soft
0,2.0266457,test,1.1082256,0.6885,gumbel_soft
1,0.82956415,train,0.67347467,0.7007654320987654,gumbel_soft
1,0.82956415,val,0.6784669,0.6968888888888889,gumbel_soft
1,0.82956415,test,0.6705121,0.7028,gumbel_soft
2,0.6513977,train,0.6341099,0.7040864197530864,gumbel_soft
2,0.6513977,val,0.640969,0.6982222222222222,gumbel_soft
2,0.6513977,test,0.6353334,0.7031,gumbel_soft
3,0.6470098,train,0.63871276,0.7064444444444444,gumbel_soft
3,0.6470098,val,0.646864,0.7013333333333334,gumbel_soft
3,0.6470098,test,0.6422867,0.7028,gumbel_soft
4,0.6272012,train,0.6278557,0.6940987654320988,gumbel_soft
4,0.6272012,val,0.627911,0.7086666666666667,gumbel_soft
4,0.6272012,test,0.63294786,0.6848,gumbel_soft
5,0.62932795,train,0.62473047,0.7058271604938272,gumbel_soft
5,0.62932795,val,0.6399264,0.6913333333333334,gumbel_soft
5,0.62932795,test,0.6199858,0.7086,gumbel_soft
6,0.6124637,train,0.60962623,0.7008148148148148,gumbel_soft
6,0.6124637,val,0.62238574,0.6867777777777778,gumbel_soft
6,0.6124637,test,0.5963044,0.7122,gumbel_soft
7,0.6023448,train,0.6003452,0.7063209876543209,gumbel_soft
7,0.6023448,val,0.5898649,0.7077777777777777,gumbel_soft
7,0.6023448,test,0.642854,0.6931,gumbel_soft
8,0.61287385,train,0.599936,0.7138888888888889,gumbel_soft
8,0.61287385,val,0.5948435,0.7114444444444444,gumbel_soft
8,0.61287385,test,0.59482723,0.7123,gumbel_soft
9,0.58555955,train,0.5655229,0.7288395061728395,gumbel_soft
9,0.58555955,val,0.54195005,0.7385555555555555,gumbel_soft
9,0.58555955,test,0.6034663,0.7025,gumbel_soft
10,0.5656372,train,0.54074395,0.7431234567901235,gumbel_soft
10,0.5656372,val,0.5575926,0.7222222222222222,gumbel_soft
10,0.5656372,test,0.5873453,0.7236,gumbel_soft
11,0.5424105,train,0.570113,0.742567901234568,gumbel_soft
11,0.5424105,val,0.5395391,0.7552222222222222,gumbel_soft
11,0.5424105,test,0.5434884,0.7478,gumbel_soft
12,0.5307921,train,0.48998436,0.7921481481481482,gumbel_soft
12,0.5307921,val,0.4770596,0.8071111111111111,gumbel_soft
12,0.5307921,test,0.47786742,0.7916,gumbel_soft
13,0.4688483,train,0.47265247,0.8008518518518518,gumbel_soft
13,0.4688483,val,0.5068911,0.7696666666666667,gumbel_soft
13,0.4688483,test,0.46354234,0.7745,gumbel_soft
14,0.45486122,train,0.44564906,0.8069259259259259,gumbel_soft
14,0.45486122,val,0.39512497,0.8406666666666667,gumbel_soft
14,0.45486122,test,0.410928,0.8118,gumbel_soft
15,0.43772098,train,0.42095834,0.8360493827160493,gumbel_soft
15,0.43772098,val,0.41882846,0.8368888888888889,gumbel_soft
15,0.43772098,test,0.41756186,0.841,gumbel_soft
16,0.4116466,train,0.42960057,0.8293333333333334,gumbel_soft
16,0.4116466,val,0.37639436,0.8593333333333333,gumbel_soft
16,0.4116466,test,0.40365216,0.8459,gumbel_soft
17,0.41501635,train,0.37699762,0.8596049382716049,gumbel_soft
17,0.41501635,val,0.38747472,0.8438888888888889,gumbel_soft
17,0.41501635,test,0.36511078,0.86,gumbel_soft
18,0.3593535,train,0.35493177,0.8633827160493828,gumbel_soft
18,0.3593535,val,0.3558672,0.858,gumbel_soft
18,0.3593535,test,0.33663088,0.8747,gumbel_soft
19,0.3523716,train,0.35697344,0.8662716049382716,gumbel_soft
19,0.3523716,val,0.43740052,0.8175555555555556,gumbel_soft
19,0.3523716,test,0.38699958,0.8423,gumbel_soft
20,0.3787823,train,0.34523705,0.8620987654320987,gumbel_soft
20,0.3787823,val,0.4179761,0.8183333333333334,gumbel_soft
20,0.3787823,test,0.35147253,0.8612,gumbel_soft
21,0.33802047,train,0.31864342,0.8795185185185185,gumbel_soft
21,0.33802047,val,0.33271918,0.8764444444444445,gumbel_soft
21,0.33802047,test,0.3296342,0.8668,gumbel_soft
22,0.29578248,train,0.32022402,0.8677037037037038,gumbel_soft
22,0.29578248,val,0.33604255,0.8534444444444444,gumbel_soft
22,0.29578248,test,0.30861235,0.8649,gumbel_soft
23,0.3024097,train,0.3065812,0.8728271604938271,gumbel_soft
23,0.3024097,val,0.40376264,0.8371111111111111,gumbel_soft
23,0.3024097,test,0.2924325,0.8877,gumbel_soft
24,0.30170235,train,0.30323732,0.8836543209876543,gumbel_soft
24,0.30170235,val,0.36452034,0.8531111111111112,gumbel_soft
24,0.30170235,test,0.28213635,0.8955,gumbel_soft
25,0.29107296,train,0.27264944,0.8922222222222222,gumbel_soft
25,0.29107296,val,0.26333028,0.9092222222222223,gumbel_soft
25,0.29107296,test,0.27727154,0.8945,gumbel_soft
26,0.2793477,train,0.26212534,0.8979753086419753,gumbel_soft
26,0.2793477,val,0.26493654,0.8964444444444445,gumbel_soft
26,0.2793477,test,0.23786111,0.9112,gumbel_soft
27,0.27063406,train,0.25568828,0.9045185185185185,gumbel_soft
27,0.27063406,val,0.2587305,0.901,gumbel_soft
27,0.27063406,test,0.24081509,0.9102,gumbel_soft
28,0.26888502,train,0.24554181,0.9083456790123456,gumbel_soft
28,0.26888502,val,0.25547814,0.8982222222222223,gumbel_soft
28,0.26888502,test,0.24030492,0.91,gumbel_soft
29,0.24933423,train,0.24435167,0.9063703703703704,gumbel_soft
29,0.24933423,val,0.24106628,0.9056666666666666,gumbel_soft
29,0.24933423,test,0.22938529,0.9153,gumbel_soft
30,0.23827146,train,0.24895632,0.9025308641975308,gumbel_soft
30,0.23827146,val,0.22190872,0.9197777777777778,gumbel_soft
30,0.23827146,test,0.23134659,0.9095,gumbel_soft
31,0.23860864,train,0.21933329,0.9197654320987654,gumbel_soft
31,0.23860864,val,0.24142466,0.9073333333333333,gumbel_soft
31,0.23860864,test,0.2128418,0.923,gumbel_soft
32,0.23652536,train,0.23010008,0.9149506172839507,gumbel_soft
32,0.23652536,val,0.2222205,0.9155555555555556,gumbel_soft
32,0.23652536,test,0.2272577,0.9169,gumbel_soft
33,0.21601295,train,0.21407546,0.9198148148148149,gumbel_soft
33,0.21601295,val,0.20865585,0.9227777777777778,gumbel_soft
33,0.21601295,test,0.20484863,0.9202,gumbel_soft
34,0.2245327,train,0.21102388,0.9187901234567901,gumbel_soft
34,0.2245327,val,0.2476762,0.9028888888888889,gumbel_soft
34,0.2245327,test,0.21651767,0.9219,gumbel_soft
35,0.2181194,train,0.21644257,0.9169135802469136,gumbel_soft
35,0.2181194,val,0.22997989,0.913,gumbel_soft
35,0.2181194,test,0.21553113,0.9148,gumbel_soft
36,0.21532415,train,0.21748672,0.9157283950617284,gumbel_soft
36,0.21532415,val,0.21676554,0.9144444444444444,gumbel_soft
36,0.21532415,test,0.23050034,0.9114,gumbel_soft
37,0.2149174,train,0.21437347,0.9158641975308642,gumbel_soft
37,0.2149174,val,0.26317656,0.891,gumbel_soft
37,0.2149174,test,0.19784349,0.9217,gumbel_soft
38,0.21808666,train,0.21845917,0.9150493827160494,gumbel_soft
38,0.21808666,val,0.22324985,0.9152222222222223,gumbel_soft
38,0.21808666,test,0.20818749,0.9188,gumbel_soft
39,0.20905419,train,0.21056235,0.9178641975308642,gumbel_soft
39,0.20905419,val,0.2125793,0.9161111111111111,gumbel_soft
39,0.20905419,test,0.21857621,0.9152,gumbel_soft
40,0.21634912,train,0.20266445,0.9196172839506173,gumbel_soft
40,0.21634912,val,0.20840672,0.9154444444444444,gumbel_soft
40,0.21634912,test,0.21213801,0.916,gumbel_soft
41,0.20497966,train,0.20752761,0.9195432098765433,gumbel_soft
41,0.20497966,val,0.20494303,0.9195555555555556,gumbel_soft
41,0.20497966,test,0.20939106,0.9167,gumbel_soft
42,0.20995419,train,0.21087122,0.9172962962962963,gumbel_soft
42,0.20995419,val,0.23328905,0.9086666666666666,gumbel_soft
42,0.20995419,test,0.2042685,0.9222,gumbel_soft
43,0.20598733,train,0.21398531,0.9142098765432098,gumbel_soft
43,0.20598733,val,0.21805854,0.9157777777777778,gumbel_soft
43,0.20598733,test,0.21205957,0.9174,gumbel_soft
44,0.20476192,train,0.21108414,0.9151604938271605,gumbel_soft
44,0.20476192,val,0.2105247,0.9133333333333333,gumbel_soft
44,0.20476192,test,0.20857303,0.9178,gumbel_soft
45,0.21302256,train,0.21208532,0.9146666666666666,gumbel_soft
45,0.21302256,val,0.206773,0.9206666666666666,gumbel_soft
45,0.21302256,test,0.20096005,0.9192,gumbel_soft
46,0.21421596,train,0.2164511,0.9115185185185185,gumbel_soft
46,0.21421596,val,0.21928495,0.9112222222222223,gumbel_soft
46,0.21421596,test,0.21202187,0.9155,gumbel_soft
47,0.21728696,train,0.21083258,0.9149876543209876,gumbel_soft
47,0.21728696,val,0.21643001,0.9124444444444444,gumbel_soft
47,0.21728696,test,0.21181959,0.9143,gumbel_soft
48,0.2130493,train,0.21476866,0.9135679012345679,gumbel_soft
48,0.2130493,val,0.23300713,0.9074444444444445,gumbel_soft
48,0.2130493,test,0.21325663,0.9146,gumbel_soft
49,0.21675134,train,0.22219373,0.908753086419753,gumbel_soft
49,0.21675134,val,0.22226647,0.9101111111111111,gumbel_soft
49,0.21675134,test,0.2078957,0.9185,gumbel_soft
50,0.21417546,train,0.21941063,0.9108395061728395,gumbel_soft
50,0.21417546,val,0.21863972,0.9104444444444444,gumbel_soft
50,0.21417546,test,0.22223523,0.912,gumbel_soft
51,0.22846404,train,0.22742303,0.9093703703703704,gumbel_soft
51,0.22846404,val,0.23656093,0.9057777777777778,gumbel_soft
51,0.22846404,test,0.21904625,0.9155,gumbel_soft
52,0.22923686,train,0.22548464,0.9078271604938272,gumbel_soft
52,0.22923686,val,0.22706203,0.9055555555555556,gumbel_soft
52,0.22923686,test,0.2328201,0.9087,gumbel_soft
53,0.23105337,train,0.226678,0.9084444444444445,gumbel_soft
53,0.23105337,val,0.22770323,0.9061111111111111,gumbel_soft
53,0.23105337,test,0.22721724,0.907,gumbel_soft
54,0.23138493,train,0.23499894,0.9019135802469136,gumbel_soft
54,0.23138493,val,0.24260142,0.9017777777777778,gumbel_soft
54,0.23138493,test,0.23552112,0.9022,gumbel_soft
55,0.23725992,train,0.24575129,0.896074074074074,gumbel_soft
55,0.23725992,val,0.23433821,0.8976666666666666,gumbel_soft
55,0.23725992,test,0.23967251,0.8987,gumbel_soft
56,0.23637365,train,0.23266983,0.9042592592592592,gumbel_soft
56,0.23637365,val,0.24756305,0.8962222222222223,gumbel_soft
56,0.23637365,test,0.22658646,0.9056,gumbel_soft
57,0.23801796,train,0.23590863,0.9023827160493827,gumbel_soft
57,0.23801796,val,0.24544708,0.896,gumbel_soft
57,0.23801796,test,0.2408548,0.9,gumbel_soft
58,0.23874746,train,0.23955153,0.8998641975308642,gumbel_soft
58,0.23874746,val,0.23899414,0.9023333333333333,gumbel_soft
58,0.23874746,test,0.23460694,0.8991,gumbel_soft
59,0.24364233,train,0.23966888,0.8994074074074074,gumbel_soft
59,0.24364233,val,0.24069597,0.9042222222222223,gumbel_soft
59,0.24364233,test,0.25339472,0.8932,gumbel_soft
60,0.24220267,train,0.24680342,0.8974691358024691,gumbel_soft
60,0.24220267,val,0.23872006,0.8968888888888888,gumbel_soft
60,0.24220267,test,0.24229862,0.8979,gumbel_soft
61,0.24521975,train,0.24216293,0.8987777777777778,gumbel_soft
61,0.24521975,val,0.24820131,0.8981111111111111,gumbel_soft
61,0.24521975,test,0.25609717,0.897,gumbel_soft
62,0.25587264,train,0.24661854,0.8933456790123456,gumbel_soft
62,0.25587264,val,0.24248764,0.8974444444444445,gumbel_soft
62,0.25587264,test,0.25134507,0.8942,gumbel_soft
63,0.24645628,train,0.2414639,0.8982839506172839,gumbel_soft
63,0.24645628,val,0.24672532,0.8943333333333333,gumbel_soft
63,0.24645628,test,0.25040686,0.8935,gumbel_soft
64,0.25069225,train,0.2455345,0.8953333333333333,gumbel_soft
64,0.25069225,val,0.24282146,0.894,gumbel_soft
64,0.25069225,test,0.24587482,0.8941,gumbel_soft
65,0.24860479,train,0.24910228,0.8932592592592593,gumbel_soft
65,0.24860479,val,0.24577741,0.8977777777777778,gumbel_soft
65,0.24860479,test,0.2622763,0.8888,gumbel_soft
66,0.25310093,train,0.25414097,0.8921728395061729,gumbel_soft
66,0.25310093,val,0.25352865,0.8925555555555555,gumbel_soft
66,0.25310093,test,0.2531253,0.8952,gumbel_soft
67,0.2511967,train,0.25270042,0.8917283950617284,gumbel_soft
67,0.2511967,val,0.2547743,0.8896666666666667,gumbel_soft
67,0.2511967,test,0.25733143,0.8879,gumbel_soft
68,0.25297683,train,0.25681448,0.8901234567901235,gumbel_soft
68,0.25297683,val,0.25375637,0.8914444444444445,gumbel_soft
68,0.25297683,test,0.25274062,0.8938,gumbel_soft
69,0.25676945,train,0.25492868,0.8920987654320988,gumbel_soft
69,0.25676945,val,0.26064852,0.892,gumbel_soft
69,0.25676945,test,0.25071913,0.8943,gumbel_soft
70,0.25909516,train,0.26052666,0.8882592592592593,gumbel_soft
70,0.25909516,val,0.27780288,0.8802222222222222,gumbel_soft
70,0.25909516,test,0.2628811,0.8898,gumbel_soft
71,0.2544152,train,0.25636783,0.889432098765432,gumbel_soft
71,0.2544152,val,0.25889015,0.889,gumbel_soft
71,0.2544152,test,0.25137296,0.8932,gumbel_soft
72,0.2566344,train,0.2639475,0.8884444444444445,gumbel_soft
72,0.2566344,val,0.26357841,0.892,gumbel_soft
72,0.2566344,test,0.25087544,0.8942,gumbel_soft
73,0.26345038,train,0.2601359,0.8918024691358025,gumbel_soft
73,0.26345038,val,0.26150268,0.8903333333333333,gumbel_soft
73,0.26345038,test,0.2552512,0.8944,gumbel_soft
74,0.27602068,train,0.28690517,0.8819382716049383,gumbel_soft
74,0.27602068,val,0.27600563,0.8855555555555555,gumbel_soft
74,0.27602068,test,0.3071756,0.8795,gumbel_soft
75,0.27721027,train,0.2656424,0.8870370370370371,gumbel_soft
75,0.27721027,val,0.29610956,0.8776666666666667,gumbel_soft
75,0.27721027,test,0.26195404,0.8859,gumbel_soft
76,0.27603984,train,0.26171252,0.8873456790123457,gumbel_soft
76,0.27603984,val,0.25378123,0.8915555555555555,gumbel_soft
76,0.27603984,test,0.26063463,0.8908,gumbel_soft
77,0.27418303,train,0.2717736,0.880641975308642,gumbel_soft
77,0.27418303,val,0.2679423,0.8773333333333333,gumbel_soft
77,0.27418303,test,0.2638096,0.8854,gumbel_soft
78,0.2697948,train,0.2721312,0.8795679012345679,gumbel_soft
78,0.2697948,val,0.26555443,0.8807777777777778,gumbel_soft
78,0.2697948,test,0.27403817,0.883,gumbel_soft
79,0.27154404,train,0.2676289,0.8851111111111111,gumbel_soft
79,0.27154404,val,0.4056564,0.8158888888888889,gumbel_soft
79,0.27154404,test,0.27124578,0.8875,gumbel_soft
80,0.26921722,train,0.27181098,0.8829753086419753,gumbel_soft
80,0.26921722,val,0.2840235,0.8834444444444445,gumbel_soft
80,0.26921722,test,0.26959336,0.8846,gumbel_soft
81,0.27764234,train,0.2752231,0.8806913580246913,gumbel_soft
81,0.27764234,val,0.2617391,0.892,gumbel_soft
81,0.27764234,test,0.27392945,0.8805,gumbel_soft
82,0.27421427,train,0.2773648,0.8781851851851852,gumbel_soft
82,0.27421427,val,0.26450837,0.8894444444444445,gumbel_soft
82,0.27421427,test,0.27426776,0.881,gumbel_soft
83,0.27689347,train,0.268448,0.8843333333333333,gumbel_soft
83,0.27689347,val,0.30179894,0.8765555555555555,gumbel_soft
83,0.27689347,test,0.26975876,0.8868,gumbel_soft
84,0.2800889,train,0.27937013,0.8786913580246913,gumbel_soft
84,0.2800889,val,0.28285095,0.8752222222222222,gumbel_soft
84,0.2800889,test,0.27325073,0.8826,gumbel_soft
85,0.2752354,train,0.27472436,0.8826172839506173,gumbel_soft
85,0.2752354,val,0.27121055,0.8826666666666667,gumbel_soft
85,0.2752354,test,0.27284583,0.8775,gumbel_soft
86,0.27975434,train,0.2878165,0.868641975308642,gumbel_soft
86,0.27975434,val,0.2835578,0.8727777777777778,gumbel_soft
86,0.27975434,test,0.271372,0.8814,gumbel_soft
87,0.27962387,train,0.28979596,0.8698888888888889,gumbel_soft
87,0.27962387,val,0.2772562,0.8737777777777778,gumbel_soft
87,0.27962387,test,0.29576278,0.8658,gumbel_soft
88,0.29799306,train,0.29801187,0.8747160493827161,gumbel_soft
88,0.29799306,val,0.3050107,0.872,gumbel_soft
88,0.29799306,test,0.30922595,0.8731,gumbel_soft
89,0.2951772,train,0.2784126,0.8799259259259259,gumbel_soft
89,0.2951772,val,0.26874655,0.8826666666666667,gumbel_soft
89,0.2951772,test,0.2797948,0.8772,gumbel_soft
90,0.2939575,train,0.2913306,0.8695802469135803,gumbel_soft
90,0.2939575,val,0.2875596,0.8686666666666667,gumbel_soft
90,0.2939575,test,0.29532892,0.8681,gumbel_soft
91,0.2870571,train,0.2937239,0.8659382716049383,gumbel_soft
91,0.2870571,val,0.30511257,0.8598888888888889,gumbel_soft
91,0.2870571,test,0.30958983,0.854,gumbel_soft
92,0.29823261,train,0.28691235,0.8694691358024691,gumbel_soft
92,0.29823261,val,0.27641162,0.8787777777777778,gumbel_soft
92,0.29823261,test,0.27727973,0.8794,gumbel_soft
93,0.29452878,train,0.29948157,0.8741728395061729,gumbel_soft
93,0.29452878,val,0.28239307,0.8745555555555555,gumbel_soft
93,0.29452878,test,0.31083632,0.8738,gumbel_soft
94,0.28950357,train,0.28784573,0.8741975308641975,gumbel_soft
94,0.28950357,val,0.2866369,0.8747777777777778,gumbel_soft
94,0.28950357,test,0.29506624,0.8695,gumbel_soft
95,0.29495224,train,0.28901452,0.8746172839506173,gumbel_soft
95,0.29495224,val,0.28838617,0.8753333333333333,gumbel_soft
95,0.29495224,test,0.2787635,0.8795,gumbel_soft
96,0.28748506,train,0.28996196,0.874358024691358,gumbel_soft
96,0.28748506,val,0.28653684,0.8754444444444445,gumbel_soft
96,0.28748506,test,0.28736907,0.8773,gumbel_soft
97,0.2923742,train,0.2918716,0.8746913580246913,gumbel_soft
97,0.2923742,val,0.300158,0.8748888888888889,gumbel_soft
97,0.2923742,test,0.27795044,0.8817,gumbel_soft
98,0.30158845,train,0.29588205,0.8688148148148148,gumbel_soft
98,0.30158845,val,0.29130003,0.867,gumbel_soft
98,0.30158845,test,0.28549623,0.8786,gumbel_soft
99,0.298166,train,0.29239538,0.8704074074074074,gumbel_soft
99,0.298166,val,0.28793058,0.87,gumbel_soft
99,0.298166,test,0.29354197,0.867,gumbel_soft
100,0.30284318,train,0.2977055,0.8608518518518519,gumbel_soft
100,0.30284318,val,0.29070446,0.8665555555555555,gumbel_soft
100,0.30284318,test,0.29355633,0.8719,gumbel_soft
101,0.29931843,train,0.29703528,0.8727777777777778,gumbel_soft
101,0.29931843,val,0.2945825,0.8701111111111111,gumbel_soft
101,0.29931843,test,0.28575402,0.8763,gumbel_soft
102,0.31470752,train,0.34262285,0.8701604938271605,gumbel_soft
102,0.31470752,val,0.31782994,0.8687777777777778,gumbel_soft
102,0.31470752,test,0.3007124,0.8735,gumbel_soft
103,0.30611333,train,0.3027269,0.8687777777777778,gumbel_soft
103,0.30611333,val,0.29700962,0.8664444444444445,gumbel_soft
103,0.30611333,test,0.29812282,0.8686,gumbel_soft
104,0.29665864,train,0.2915777,0.8688641975308642,gumbel_soft
104,0.29665864,val,0.30586234,0.8602222222222222,gumbel_soft
104,0.29665864,test,0.31071576,0.8582,gumbel_soft
105,0.29661933,train,0.28866157,0.8741851851851852,gumbel_soft
105,0.29661933,val,0.28278,0.8778888888888889,gumbel_soft
105,0.29661933,test,0.30880004,0.8689,gumbel_soft
106,0.30998027,train,0.30591935,0.8642962962962963,gumbel_soft
106,0.30998027,val,0.31645745,0.8546666666666667,gumbel_soft
106,0.30998027,test,0.3108864,0.8704,gumbel_soft
107,0.29674652,train,0.29785207,0.8711234567901235,gumbel_soft
107,0.29674652,val,0.31120518,0.8698888888888889,gumbel_soft
107,0.29674652,test,0.29368544,0.8767,gumbel_soft
108,0.29409632,train,0.29697013,0.8654691358024691,gumbel_soft
108,0.29409632,val,0.29011393,0.8671111111111112,gumbel_soft
108,0.29409632,test,0.30862898,0.8614,gumbel_soft
109,0.3018073,train,0.30073535,0.8613827160493828,gumbel_soft
109,0.3018073,val,0.30989516,0.8512222222222222,gumbel_soft
109,0.3018073,test,0.29193258,0.8713,gumbel_soft
110,0.29502162,train,0.29690683,0.8656913580246913,gumbel_soft
110,0.29502162,val,0.2994128,0.8634444444444445,gumbel_soft
110,0.29502162,test,0.29765487,0.8668,gumbel_soft
111,0.30717552,train,0.30297348,0.8597777777777778,gumbel_soft
111,0.30717552,val,0.2991986,0.862,gumbel_soft
111,0.30717552,test,0.30447033,0.8565,gumbel_soft
112,0.3191481,train,0.31207994,0.8499382716049383,gumbel_soft
112,0.3191481,val,0.30336067,0.8716666666666667,gumbel_soft
112,0.3191481,test,0.28832006,0.8726,gumbel_soft
113,0.31654716,train,0.31218714,0.8529012345679012,gumbel_soft
113,0.31654716,val,0.32466486,0.8404444444444444,gumbel_soft
113,0.31654716,test,0.33387464,0.8335,gumbel_soft
114,0.3138874,train,0.31533727,0.863,gumbel_soft
114,0.3138874,val,0.30414584,0.8623333333333333,gumbel_soft
114,0.3138874,test,0.30358192,0.8675,gumbel_soft
115,0.30434546,train,0.29618242,0.8675432098765432,gumbel_soft
115,0.30434546,val,0.29159126,0.8682222222222222,gumbel_soft
115,0.30434546,test,0.3023267,0.8648,gumbel_soft
116,0.30012715,train,0.30334005,0.8623950617283951,gumbel_soft
116,0.30012715,val,0.30245695,0.8644444444444445,gumbel_soft
116,0.30012715,test,0.32168353,0.8463,gumbel_soft
117,0.3064421,train,0.30743065,0.8679135802469136,gumbel_soft
