feature,value,0,1,2,3,4,5
mlp_1_0_outputs,0,0.13615388,-0.3123095,0.26006138,0.05472385,0.35480288,-0.1343582
mlp_1_0_outputs,1,0.18936647,0.02455515,-0.029408526,0.15625653,0.17338149,0.21405146
mlp_1_0_outputs,10,-0.34817275,0.48644212,0.46662235,0.59762424,0.6282411,0.10632896
mlp_1_0_outputs,11,3.3121097,-2.666924,-2.7690554,-2.1302366,-2.1814182,-2.6911702
mlp_1_0_outputs,2,0.17486066,0.2628661,0.13743398,-0.074404456,-0.012426424,-0.027722716
mlp_1_0_outputs,3,0.26991868,-0.004751786,0.3595839,0.60784405,-0.017894922,-0.15594964
mlp_1_0_outputs,4,0.10249519,-0.4905925,0.05924614,0.4148745,-0.14526255,-0.15844904
mlp_1_0_outputs,5,-0.3502453,-0.7676377,-0.079367965,0.04353635,0.44497445,-0.16371164
mlp_1_0_outputs,6,0.03180879,-0.047191005,-0.042468984,-0.2817895,0.18340364,-0.04335419
mlp_1_0_outputs,7,-1.9294748,0.43342152,0.16977972,-0.0027099652,0.27490082,0.030365838
mlp_1_0_outputs,8,0.0011392944,-0.19788158,-0.22576894,-0.2476078,0.419295,0.2191119
mlp_1_0_outputs,9,0.45296794,0.28903946,0.7458278,-0.010004127,0.36968952,-0.22535664
ones,_,0.924656,0.4493917,-0.656252,0.05474195,-0.23075114,-0.41929045
positions,0,-0.37822083,-0.3865909,0.27314496,0.09030626,0.08436924,0.91105837
positions,1,1.2076572,-1.0759597,-1.4345584,-1.1799563,-0.79793036,-1.6300342
positions,10,0.27688515,0.7194924,0.87846816,0.8252096,0.7853537,0.7546729
positions,11,-0.6743459,0.2727921,0.61943334,0.4244816,-0.732371,0.066022076
positions,2,1.4043977,-0.8866608,-1.2830008,-1.6412314,-1.4374912,-0.6768234
positions,3,1.7855127,-1.3232135,-2.0124419,-0.7327123,-0.8742205,-1.9436678
positions,4,1.4113113,-0.7518807,-0.74998033,-1.5710524,-1.4170483,-1.1273469
positions,5,1.0223044,-0.64861804,-1.9542758,-1.5584989,-1.3408802,-0.6438627
positions,6,-1.4942359,0.8193233,0.45818323,0.8732582,0.84874254,0.8449006
positions,7,0.05305825,0.89980155,0.52404594,0.60814214,0.5512988,-0.021662435
positions,8,-0.20850345,0.022261998,0.53041726,0.24724507,0.29492834,0.5828903
positions,9,-0.42804182,-0.23136637,0.4558261,0.28649074,0.22958268,-0.01159365
tokens,1,1.0888807,-1.2996701,-1.4921917,-1.385984,-0.7238006,-1.0445154
tokens,2,1.4388145,-0.44164464,-0.727217,-1.1774366,-1.5597545,-1.0597509
tokens,3,0.70150113,-0.90116566,-1.3657058,-1.3850666,-1.2382811,-1.0707934
tokens,4,1.015829,-1.1354947,-1.0249768,-1.0460835,-0.881719,-1.452701
tokens,5,1.0881469,-1.0462315,-1.7414482,-0.17602757,-0.67692345,-1.5244808
tokens,6,-2.013783,2.1976466,1.8120271,1.9028463,1.8015096,2.1659458
tokens,7,1.8202355,-1.8981308,-1.9276874,-3.3806043,-2.163534,-2.3662708
tokens,8,2.0366964,-2.329259,-2.664391,-2.2484872,-2.0034385,-2.4304373
tokens,9,1.9537318,-1.8388486,-2.6712701,-2.9381044,-3.2071197,-2.6272628
tokens,</s>,0.051076896,-0.5870943,-0.9157687,-0.67726105,-0.30739376,-0.22469525
tokens,<pad>,0.25399664,-0.094378375,-0.2313576,-0.73412,-1.2336354,0.022517521
tokens,<s>,0.39724737,0.26271296,-0.42794704,0.18711473,-0.13943389,0.3146004
