epoch,epoch_loss,split,loss,acc,sample_fn
0,1.6122724,train,1.23041,0.5270192819421132,gumbel_soft
0,1.6122724,val,1.219525,0.5300092336103417,gumbel_soft
0,1.6122724,test,1.215532,0.544127405441274,gumbel_soft
1,1.0909257,train,0.9503935,0.6177590371310435,gumbel_soft
1,1.0909257,val,0.9072001,0.6326869806094183,gumbel_soft
1,1.0909257,test,0.96379685,0.6192767086927671,gumbel_soft
2,0.8741471,train,0.8199696,0.669157080280018,gumbel_soft
2,0.8741471,val,0.8072125,0.6759002770083102,gumbel_soft
2,0.8741471,test,0.8643777,0.6541141340411414,gumbel_soft
3,0.7527497,train,0.74245995,0.6945388299832153,gumbel_soft
3,0.7527497,val,0.72227556,0.7054478301015698,gumbel_soft
3,0.7527497,test,0.85821307,0.6439946914399469,gumbel_soft
4,0.7431637,train,0.6713305,0.7237892496008516,gumbel_soft
4,0.7431637,val,0.70899737,0.7063711911357341,gumbel_soft
4,0.7431637,test,0.7004613,0.7043795620437956,gumbel_soft
5,0.64478713,train,0.6219267,0.7514021369795718,gumbel_soft
5,0.64478713,val,0.5996075,0.7560480147737766,gumbel_soft
5,0.64478713,test,0.6575356,0.7420371599203716,gumbel_soft
6,0.61710876,train,0.5736142,0.7795062840299668,gumbel_soft
6,0.61710876,val,0.600683,0.7636195752539243,gumbel_soft
6,0.61710876,test,0.56322825,0.7820172528201725,gumbel_soft
7,0.5902001,train,0.5422606,0.7900274286650019,gumbel_soft
7,0.5902001,val,0.5275832,0.7964912280701755,gumbel_soft
7,0.5902001,test,0.5423358,0.78550099535501,gumbel_soft
8,0.55046785,train,0.54499876,0.7905391574896631,gumbel_soft
8,0.55046785,val,0.5443781,0.7981532779316712,gumbel_soft
8,0.55046785,test,0.5157312,0.8090577305905773,gumbel_soft
9,0.49840325,train,0.50663364,0.8106603348753428,gumbel_soft
9,0.49840325,val,0.59711415,0.7741458910433979,gumbel_soft
9,0.49840325,test,0.5269943,0.79628400796284,gumbel_soft
10,0.50809497,train,0.48532292,0.8134441396815,gumbel_soft
10,0.50809497,val,0.4577006,0.8253000923361035,gumbel_soft
10,0.50809497,test,0.48526222,0.8049104180491041,gumbel_soft
11,0.45434394,train,0.47159398,0.825561878249478,gumbel_soft
11,0.45434394,val,0.5316859,0.7948291782086796,gumbel_soft
11,0.45434394,test,0.41096056,0.8553417385534173,gumbel_soft
12,0.474609,train,0.5169488,0.8015925001023457,gumbel_soft
12,0.474609,val,0.48709208,0.8075715604801478,gumbel_soft
12,0.474609,test,0.58038914,0.7755474452554745,gumbel_soft
13,0.46674547,train,0.4473625,0.8317435624513858,gumbel_soft
13,0.46674547,val,0.4438264,0.8310249307479224,gumbel_soft
13,0.46674547,test,0.43113378,0.8385865958858659,gumbel_soft
14,0.4317343,train,0.4132854,0.8551398043148974,gumbel_soft
14,0.4317343,val,0.43902808,0.8408125577100647,gumbel_soft
14,0.4317343,test,0.40729308,0.8488719309887193,gumbel_soft
15,0.39726642,train,0.3960142,0.8640643550169894,gumbel_soft
15,0.39726642,val,0.36813718,0.8755309325946445,gumbel_soft
15,0.39726642,test,0.4237525,0.8508626410086264,gumbel_soft
16,0.3891252,train,0.38478318,0.8643099848528268,gumbel_soft
16,0.3891252,val,0.3710427,0.8688827331486612,gumbel_soft
16,0.3891252,test,0.35845563,0.8711015262110152,gumbel_soft
17,0.37560818,train,0.35602888,0.8762435010439268,gumbel_soft
17,0.37560818,val,0.37147814,0.876269621421976,gumbel_soft
17,0.37560818,test,0.3396589,0.8870272063702721,gumbel_soft
18,0.372935,train,0.34462383,0.8810128136897695,gumbel_soft
18,0.372935,val,0.34047568,0.8858725761772853,gumbel_soft
18,0.372935,test,0.40979564,0.8541804910418049,gumbel_soft
19,0.34624946,train,0.34070936,0.8829164449175093,gumbel_soft
19,0.34624946,val,0.34038672,0.8823638042474607,gumbel_soft
19,0.34624946,test,0.40915704,0.8560053085600531,gumbel_soft
20,0.34753877,train,0.34104136,0.878167601424653,gumbel_soft
20,0.34753877,val,0.30743545,0.8910433979686058,gumbel_soft
20,0.34753877,test,0.34861064,0.8687790311877903,gumbel_soft
21,0.32168424,train,0.33578277,0.8848405452982355,gumbel_soft
21,0.32168424,val,0.34609377,0.8812557710064636,gumbel_soft
21,0.32168424,test,0.30821753,0.8901791639017916,gumbel_soft
22,0.33580524,train,0.34355167,0.8769189830924796,gumbel_soft
22,0.33580524,val,0.34915572,0.8679593721144968,gumbel_soft
22,0.33580524,test,0.31484538,0.8875248838752489,gumbel_soft
23,0.33175647,train,0.3103756,0.8904695623695091,gumbel_soft
23,0.33175647,val,0.3906429,0.8515235457063712,gumbel_soft
23,0.33175647,test,0.316171,0.8883543463835435,gumbel_soft
24,0.3221696,train,0.32599527,0.8861301019363819,gumbel_soft
24,0.3221696,val,0.29553857,0.9028624192059095,gumbel_soft
24,0.3221696,test,0.28906107,0.9022893165228931,gumbel_soft
25,0.31003925,train,0.31330863,0.8873787202685552,gumbel_soft
25,0.31003925,val,0.3460185,0.8773776546629732,gumbel_soft
25,0.31003925,test,0.32232282,0.8833775713337757,gumbel_soft
26,0.32751936,train,0.3093583,0.8924346010562083,gumbel_soft
26,0.32751936,val,0.31112367,0.8893813481071099,gumbel_soft
26,0.32751936,test,0.33342493,0.8750829462508295,gumbel_soft
27,0.3420488,train,0.31816727,0.8859254104065174,gumbel_soft
27,0.3420488,val,0.3158308,0.887719298245614,gumbel_soft
27,0.3420488,test,0.30540252,0.8913404114134041,gumbel_soft
28,0.30711168,train,0.313228,0.8895689196381054,gumbel_soft
28,0.30711168,val,0.32988167,0.8744228993536473,gumbel_soft
28,0.30711168,test,0.30117032,0.8898473788984738,gumbel_soft
29,0.30385023,train,0.3033619,0.8952184058623655,gumbel_soft
29,0.30385023,val,0.29232204,0.8982456140350877,gumbel_soft
29,0.30385023,test,0.2893061,0.8988055739880557,gumbel_soft
30,0.31196216,train,0.33003923,0.8803373316412166,gumbel_soft
30,0.31196216,val,0.3151661,0.8838411819021237,gumbel_soft
30,0.31196216,test,0.30365908,0.8928334439283344,gumbel_soft
31,0.31506133,train,0.30424714,0.8911859827240349,gumbel_soft
